subject,time,system,task,accurate,damage,enrolled,semesters,list
PB1,321.025,Z,3_sa5,0,3,0,1.0,P1
PB1,164.397,Z,2_nag,0,2,0,1.0,P1
PB1,88.365,Z,0_kiri6,1,0,0,1.0,P1
PB1,50.845,Z,2_dugud,1,2,0,1.0,P1
PB1,96.965,Z,2_gir3,1,2,0,1.0,P1
PB1,82.745,Z,0_kac4,1,0,0,1.0,P1
PB1,61.419,Z,1_tur,1,1,0,1.0,P1
BX2,121.996,S,1_gal,1,1,1,1.0,E2
BX2,683.325,S,4_tu7,1,4,1,1.0,E2
BX2,90.21,S,0_dam,1,0,1,1.0,E2
BX2,41.46,S,2_urudu,1,2,1,1.0,E2
BX2,208.154,S,0_hub,1,0,1,1.0,E2
BX2,53.511,S,0_kid,1,0,1,1.0,E2
BX2,38.973,S,0_sipa,1,0,1,1.0,E2
BX2,264.891,S,0_pu2,1,0,1,1.0,E2
BX2,84.907,S,2_duh,1,2,1,1.0,E2
BX2,178.204,S,2_alam,1,2,1,1.0,E2
BX2,147.469,S,3_inanna,0,3,1,1.0,E2
BX2,130.906,S,2_gig,1,2,1,1.0,E2
BX2,97.999,S,1_ama,1,1,1,1.0,E2
BX2,164.471,S,3_sir3,1,3,1,1.0,E2
BX2,107.135,S,0_ca3,1,0,1,1.0,E2
BX2,148.254,S,0_sanga,1,0,1,1.0,E2
BX2,257.569,Z,0_zu9,1,0,1,1.0,E3
BX2,45.88,Z,1_2,1,1,1,1.0,E3
BX2,142.239,Z,0_hur,1,0,1,1.0,E3
BX2,73.205,Z,0_gu4,1,0,1,1.0,E3
BX2,147.078,Z,2_mec,1,2,1,1.0,E3
BX2,207.44,Z,0_sa,1,0,1,1.0,E3
BX2,76.457,Z,2_lal3,1,2,1,1.0,E3
BX2,204.652,Z,0_ezen4,1,0,1,1.0,E3
BX2,171.55,Z,2_dug,0,2,1,1.0,E3
BX2,210.926,Z,3_zag,0,3,1,1.0,E3
BX2,149.717,Z,0_bal,1,0,1,1.0,E3
BX2,86.351,Z,0_elam,1,0,1,1.0,E3
BX2,78.34,Z,1_iku,1,1,1,1.0,E3
BX2,97.195,Z,4_dub,1,4,1,1.0,E3
BX2,396.926,Z,2_e2,1,2,1,1.0,E3
BX2,107.144,Z,3_sag,0,3,1,1.0,E3
BY2,124.021,Z,0_elam,0,0,1,1.0,E3
BY2,218.453,Z,3_sag,0,3,1,1.0,E3
BY2,177.472,Z,0_ezen4,1,0,1,1.0,E3
BY2,76.908,Z,2_lal3,1,2,1,1.0,E3
BY2,146.303,Z,0_zu9,1,0,1,1.0,E3
BY2,146.618,Z,4_dub,1,4,1,1.0,E3
BY2,94.695,Z,0_bal,1,0,1,1.0,E3
BY2,57.459,Z,1_iku,1,1,1,1.0,E3
BY2,51.028,Z,0_gu4,1,0,1,1.0,E3
BY2,155.734,Z,3_zag,1,3,1,1.0,E3
BY2,181.711,Z,2_dug,0,2,1,1.0,E3
BY2,41.901,Z,1_2,1,1,1,1.0,E3
BY2,143.915,Z,2_e2,0,2,1,1.0,E3
BY2,54.511,Z,2_mec,1,2,1,1.0,E3
BY2,71.381,Z,0_hur,1,0,1,1.0,E3
BY2,51.47,Z,0_sa,1,0,1,1.0,E3
BY2,34.02,S,1_gal,1,1,1,1.0,E2
BY2,94.885,S,0_kid,1,0,1,1.0,E2
BY2,244.161,S,0_sanga,0,0,1,1.0,E2
BY2,178.984,S,2_urudu,0,2,1,1.0,E2
BY2,6.201,S,0_hub,1,0,1,1.0,E2
BY2,138.626,S,3_sir3,1,3,1,1.0,E2
BY2,37.489,S,1_gal,1,1,1,1.0,E2
BY2,51.693,S,0_sanga,1,0,1,1.0,E2
BY2,29.098,S,2_duh,1,2,1,1.0,E2
BY2,66.528,S,0_dam,1,0,1,1.0,E2
BY2,227.302,S,4_tu7,1,4,1,1.0,E2
